athlete_id,sex,height_cm,weight_kg,province,has_anthro,lifetime_pb,cutoff_16_group,cutoff_17_group,cutoff_18_group,cutoff_19_group,cutoff_20_group,cutoff_21_group,cutoff_22_group,cutoff_23_group,cutoff_24_group,cutoff_25_group,cutoff_26_group
2c4e5544856779b1,M,,,P23,False,10.87,excluded,A,A,A,B,B,B,B,B,B,B
a72d5d246f0fb0e6,M,,,,False,11.58,excluded,excluded,A,B,B,B,B,B,B,B,B
6e55ac9ef706ca13,M,,64.0,P10,False,12.1,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
c1bfa3afc57f1489,M,,,P12,False,11.78,A,A,B,B,B,B,B,B,B,B,B
aaf173f373cc7bbd,M,,,P21,False,11.74,excluded,B,B,B,B,B,B,B,B,B,B
df01c4580c98e17a,M,180.0,75.0,P10,True,12.03,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
b77a9543b5e25fa6,F,158.0,58.0,P18,True,11.29,excluded,excluded,excluded,excluded,excluded,A,A,A,A,A,A
23af0e2ed2e1f729,F,,,P17,False,13.03,excluded,excluded,excluded,excluded,A,B,B,B,B,B,B
a342de0bbf082afb,F,156.0,50.0,P20,True,12.58,excluded,A,A,B,B,B,B,B,B,B,B
f9f1e6cafaa0796a,M,,,P25,False,12.66,A,B,B,B,B,B,B,B,B,B,B
e50769f3ce47680e,M,172.0,58.0,,True,12.01,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
813336ca51d5fdea,M,,,,False,11.12,excluded,A,B,B,B,B,B,B,B,B,B
f8fcddaf0135662f,M,,,,False,11.17,A,B,B,B,B,B,B,B,B,B,B
42d87c6517324e3e,M,172.0,53.0,P09,True,10.81,excluded,excluded,excluded,A,A,B,B,B,B,B,B
815338e6aa7c808c,F,,,P09,False,12.62,A,A,A,B,B,B,B,B,B,B,B
ea330f4d006cec13,F,,,P09,False,13.02,A,B,B,B,B,B,B,B,B,B,B
f2e76cdb9c645acb,M,,,P14,False,11.47,excluded,B,B,B,B,B,B,B,B,B,B
231c979229a552a7,F,,,P12,False,12.48,A,B,B,B,B,B,B,B,B,B,B
b7acbd81a6034436,M,,,P18,False,11.21,excluded,excluded,excluded,excluded,excluded,excluded,B,B,B,B,B
7c7600dec1f75f90,F,,,P27,False,12.04,A,A,A,A,A,A,A,B,B,B,B
4a8cb3da3eae0b28,M,,,P10,False,11.86,excluded,excluded,A,B,B,B,B,B,B,B,B
f31eaf726fe90c0a,M,,,P17,False,12.8,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
ccd00e453ede7af6,M,,,P23,False,11.53,A,A,B,B,B,B,B,B,B,B,B
3b3f2678f795b380,M,,,,False,12.2,excluded,excluded,A,B,B,B,B,B,B,B,B
4aedfca49a4b68a2,M,183.0,65.0,P10,True,10.88,excluded,excluded,A,B,B,B,B,B,B,B,B
9d0f4860e4526171,F,,,P20,False,12.67,A,B,B,B,B,B,B,B,B,B,B
c78897c8939245fd,M,,,P18,False,10.51,excluded,excluded,A,A,A,A,A,A,B,B,B
35a9982168875975,M,,,,False,11.9,excluded,B,B,B,B,B,B,B,B,B,B
a4072db306a73fad,M,,,P10,False,12.47,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
4334be71e8254ab2,F,,,P25,False,13.59,A,B,B,B,B,B,B,B,B,B,B
ebc8a3af0b09332e,F,173.0,59.0,P26,True,12.23,excluded,excluded,A,A,A,A,B,B,B,B,B
1f6321a1ee9ed87f,M,178.0,75.0,,True,13.13,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
2bb3aa6123a19082,M,,,P12,False,11.92,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
6823a7787a38f00e,M,174.0,58.0,P28,True,10.81,A,A,A,A,A,A,B,B,B,B,B
dd8ab43b2249b107,M,161.0,51.0,P26,True,10.95,excluded,excluded,excluded,excluded,excluded,excluded,A,B,B,B,B
7dc0926dad944c83,M,,,P10,False,11.91,excluded,excluded,B,B,B,B,B,B,B,B,B
695bace017c0013e,M,181.0,70.0,P12,True,10.75,excluded,excluded,A,A,B,B,B,B,B,B,B
eb3b7fe0dde020ac,M,,,,False,11.59,excluded,excluded,A,B,B,B,B,B,B,B,B
1752a77cbd67b6f1,F,166.0,53.0,P23,True,11.92,A,A,A,A,B,B,B,B,B,B,B
38ce924053116ddd,M,,,,False,12.01,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
f24b29506592a582,M,,,P17,False,11.0,excluded,excluded,A,A,B,B,B,B,B,B,B
