seed,fold,variant,model,r2,cutoff_age,sex,n
48,0,traj_wind,Ridge,0.6599737525240709,16,Male,957
48,0,traj_wind,GradientBoosting,0.6672981735639937,16,Male,957
48,0,full_no_anthro,Ridge,0.650092927440427,16,Male,957
48,0,full_no_anthro,GradientBoosting,0.670881098699178,16,Male,957
48,1,trajectory_only,Ridge,0.5899664847336961,16,Male,957
48,1,trajectory_only,GradientBoosting,0.5959047816119003,16,Male,957
48,1,traj_wind,Ridge,0.5877808584806212,16,Male,957
48,1,traj_wind,GradientBoosting,0.5999573992304896,16,Male,957
48,1,full_no_anthro,Ridge,0.6134825394277372,16,Male,957
48,1,full_no_anthro,GradientBoosting,0.6029457367068649,16,Male,957
48,2,trajectory_only,Ridge,0.6562799418615819,16,Male,957
48,2,trajectory_only,GradientBoosting,0.6397619326533639,16,Male,957
48,2,traj_wind,Ridge,0.646682360119635,16,Male,957
48,2,traj_wind,GradientBoosting,0.6147969514674263,16,Male,957
48,2,full_no_anthro,Ridge,0.6912721636630478,16,Male,957
48,2,full_no_anthro,GradientBoosting,0.6454436892620732,16,Male,957
48,3,trajectory_only,Ridge,0.6849279016035899,16,Male,957
48,3,trajectory_only,GradientBoosting,0.5891624700634448,16,Male,957
48,3,traj_wind,Ridge,0.6881441847454366,16,Male,957
48,3,traj_wind,GradientBoosting,0.6065314648821131,16,Male,957
48,3,full_no_anthro,Ridge,0.7078197105726238,16,Male,957
48,3,full_no_anthro,GradientBoosting,0.6508294303134041,16,Male,957
48,4,trajectory_only,Ridge,0.5650221358414749,16,Male,957
48,4,trajectory_only,GradientBoosting,0.5597937577045998,16,Male,957
48,4,traj_wind,Ridge,0.5739525541511825,16,Male,957
48,4,traj_wind,GradientBoosting,0.5745244382701318,16,Male,957
48,4,full_no_anthro,Ridge,0.5842807993806657,16,Male,957
48,4,full_no_anthro,GradientBoosting,0.591617918545925,16,Male,957
49,0,trajectory_only,Ridge,0.5750270941109721,16,Male,957
49,0,trajectory_only,GradientBoosting,0.5051629119561777,16,Male,957
49,0,traj_wind,Ridge,0.5845793219187191,16,Male,957
49,0,traj_wind,GradientBoosting,0.534272423312617,16,Male,957
49,0,full_no_anthro,Ridge,0.6075260288915405,16,Male,957
49,0,full_no_anthro,GradientBoosting,0.5367252015657362,16,Male,957
49,1,trajectory_only,Ridge,0.6386017763905224,16,Male,957
49,1,trajectory_only,GradientBoosting,0.6046900224201412,16,Male,957
49,1,traj_wind,Ridge,0.6265889631965613,16,Male,957
49,1,traj_wind,GradientBoosting,0.586193660968646,16,Male,957
49,1,full_no_anthro,Ridge,0.6271162647057307,16,Male,957
49,1,full_no_anthro,GradientBoosting,0.62964006950649,16,Male,957
49,2,trajectory_only,Ridge,0.6478748498411355,16,Male,957
49,2,trajectory_only,GradientBoosting,0.6259083183130513,16,Male,957
49,2,traj_wind,Ridge,0.655706186680645,16,Male,957
49,2,traj_wind,GradientBoosting,0.6356784207696291,16,Male,957
49,2,full_no_anthro,Ridge,0.683767517173681,16,Male,957
