cutoff_age,sex,variant,model,cv_strategy,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,RMSE_std,MAE_mean,MAE_ci_lo,MAE_ci_hi,MAE_std,n_samples,n_folds,n_repeats
18,Female,trajectory_only,Ridge,random,0.977724661662821,0.9658931040502267,0.9870434423641636,0.005542301298559841,0.09933578908512264,0.07714552160619324,0.12299394652889495,0.012115915178229266,0.043971336117688824,0.03896955730976716,0.04960003844544395,0.002753623029340556,2802,5.0,500.0
18,Female,trajectory_only,RandomForest,random,0.970561069359327,0.9582325156309925,0.9803144749922834,0.00583354112371242,0.11455097411415684,0.09372954349763372,0.13654859687850274,0.011284256620313439,0.05874810732403662,0.05254864772983636,0.06553512909250778,0.003379162778533153,2802,5.0,500.0
18,Female,trajectory_only,GradientBoosting,random,0.9757138500505993,0.9636287161965752,0.9849347554786435,0.005580636786583344,0.10384317415238747,0.08200195837249212,0.1269407596387749,0.011646414578988544,0.047067770675546475,0.04157066432677155,0.05293998783760286,0.0029127467292907132,2802,5.0,500.0
18,Female,traj_wind,Ridge,random,0.9776557607856045,0.9658527701683335,0.9869601389463453,0.005541032010028077,0.09949429189581983,0.07725219662940332,0.12312333672241164,0.012089387321168592,0.04438040996388825,0.039329239904480416,0.050103353318208005,0.0027625450516245674,2802,5.0,500.0
18,Female,traj_wind,RandomForest,random,0.9725298323922609,0.9604119998503635,0.9819705333719678,0.005658557208250863,0.11059827901186413,0.09018372841129454,0.13239792713940904,0.011179417943123103,0.05693025175251648,0.05096214019562343,0.0633990569004453,0.0032337717834768453,2802,5.0,500.0
18,Female,traj_wind,GradientBoosting,random,0.9756100251808373,0.9637372292265453,0.9847116107258004,0.005535756305916884,0.10408322076445493,0.08258712359238216,0.12720642747646313,0.011532786237725023,0.047935001735916444,0.04239441803995265,0.05359121323081393,0.002894504614733994,2802,5.0,500.0
19,Male,trajectory_only,Ridge,random,0.9782276174580642,0.9697957215640362,0.9842692747970601,0.0037921580046518634,0.05790268251135044,0.04948688476050416,0.06834321950650153,0.004990904607424207,0.01685873032425998,0.015849286186808052,0.017896517252876023,0.0005248496257113656,24710,5.0,500.0
19,Male,trajectory_only,RandomForest,random,0.9754471853691895,0.9672945365991418,0.9813885572294957,0.0036960209752970844,0.0615489527933747,0.053683141259630036,0.07152871429267244,0.004645352578055363,0.02034788201958128,0.01912179769002096,0.021639069638304524,0.0006455574518294972,24710,5.0,500.0
19,Male,trajectory_only,GradientBoosting,random,0.9780293047964213,0.9699324901119731,0.9838153981840776,0.0036364760203887628,0.058186713479600485,0.049895701597312096,0.06843668269435703,0.004774709255376328,0.016661980115704533,0.01555673053964821,0.017834905856069644,0.0005676925943787414,24710,5.0,500.0
19,Male,traj_wind,Ridge,random,0.9782245076595649,0.9697922117089196,0.9842598102440641,0.003792206217446152,0.057906881089732916,0.04950399669458755,0.06834745519913608,0.0049904547514511444,0.01690367942750065,0.015886657566541718,0.01795495480710742,0.0005251433933181416,24710,5.0,500.0
19,Male,traj_wind,RandomForest,random,0.9763718038133998,0.9682471762834228,0.9822635136471016,0.0036973941049891577,0.06036432979573276,0.05239726811915661,0.0705067826426374,0.0047103736494061915,0.02019356981117083,0.018981603104615323,0.02145146923304554,0.0006196190685894913,24710,5.0,500.0
19,Male,traj_wind,GradientBoosting,random,0.9781046799197829,0.9699681486776792,0.9838505980076506,0.0036327344287664584,0.0580861316712443,0.049861973900763475,0.06842685143854868,0.004777659446605602,0.01671953308996089,0.015641034107208712,0.017838878707903953,0.000564819707408684,24710,5.0,500.0
19,Female,trajectory_only,Ridge,random,0.9909872700711665,0.9854709985672521,0.9954285801671023,0.0026054736566401213,0.06273388266927371,0.0449941472372184,0.08009569852764388,0.009144890255441821,0.023806601379503103,0.02087673870455847,0.026902185702339893,0.00157346732380504,3142,5.0,500.0
19,Female,trajectory_only,RandomForest,random,0.9854774613303598,0.9787228149818417,0.9906054440260651,0.0030794372520764244,0.08007554052971426,0.06398491079769178,0.09775704990153665,0.008787615556203153,0.03932624227612325,0.034617241703219954,0.04446732699399795,0.0024785212589700733,3142,5.0,500.0
19,Female,trajectory_only,GradientBoosting,random,0.9904894498053207,0.9849980403260056,0.9947173558592622,0.0025193545343287953,0.06456383950030475,0.04809502383671394,0.08118856232682718,0.008592802907954337,0.025090046451646517,0.021814730290421844,0.02854032776578735,0.001742771557734801,3142,5.0,500.0
19,Female,traj_wind,Ridge,random,0.990951054769987,0.9854372153208105,0.9953846716327792,0.002605154677233809,0.06286530989925301,0.04522412313439117,0.08019492379932235,0.009122823747778808,0.02413837741540721,0.021199784733705217,0.027228549526865962,0.0015826139508045532,3142,5.0,500.0
19,Female,traj_wind,RandomForest,random,0.9871084554174893,0.9811993063181969,0.9917665878689962,0.002740563954607361,0.07542807108525282,0.05986556079041134,0.0914205915044386,0.008161625427350803,0.03784986916201957,0.033691850890288,0.042543632179434354,0.0022503366489510694,3142,5.0,500.0
19,Female,traj_wind,GradientBoosting,random,0.9904614969883795,0.9849851459599319,0.9947143623428708,0.0024989065780417546,0.06467110914156037,0.04852941167325199,0.08093604103512259,0.008499758885588345,0.025616544597692793,0.02225566561354723,0.029021253552331004,0.0017371625509569229,3142,5.0,500.0
20,Male,trajectory_only,Ridge,random,0.9899041084300038,0.9855280464236341,0.9933972186788476,0.0019925539197134345,0.03971598797337019,0.032242265830734335,0.04767621556911913,0.003963881866021813,0.009559929649913314,0.008927625781081765,0.010239247100786658,0.00033954384047843493,26085,5.0,500.0
20,Male,trajectory_only,RandomForest,random,0.9869755603576936,0.9824970757357009,0.9906016337459624,0.0020544345520223566,0.04519577809203623,0.03842906343134432,0.052774021766022645,0.003638971137985954,0.013886425726531513,0.012944698790108709,0.014927548571653888,0.0005043135430095509,26085,5.0,500.0
20,Male,trajectory_only,GradientBoosting,random,0.9897602825295612,0.9855446991317126,0.9931319260727328,0.001938243203040741,0.04001474903545782,0.032768687941631895,0.04769966199949929,0.0038250349303149593,0.009664481290705169,0.008932333108267883,0.010470684996971454,0.0003986252053037542,26085,5.0,500.0
20,Male,traj_wind,Ridge,random,0.9899005045683363,0.9855260057014239,0.9933884419204623,0.001991582297968879,0.03972342479978113,0.032262327220803605,0.047680592622386136,0.003961008684601708,0.009609145582524691,0.008967658205945774,0.010286040162027194,0.0003383752116878687,26085,5.0,500.0
20,Male,traj_wind,RandomForest,random,0.9880233806145968,0.9836318494319511,0.9915518715299968,0.00201343255059599,0.043319555673061866,0.03639633436786177,0.05078581789778708,0.003696305815063686,0.013933169628724195,0.013012100672100336,0.01491458112539979,0.00047874468887145643,26085,5.0,500.0
20,Male,traj_wind,GradientBoosting,random,0.9897441681915616,0.9856032512083559,0.9931027546074602,0.0019308968978414985,0.04004792258402672,0.032946986867648555,0.047637869226285025,0.0038113011298097875,0.009712115697593223,0.008967911221804093,0.010527660168332514,0.0004025148142434714,26085,5.0,500.0
20,Female,trajectory_only,Ridge,random,0.9943482418742166,0.9903649863532139,0.9974739654018837,0.0018585410133287847,0.04965133786933535,0.033510664218924895,0.06535471842095676,0.008240096583051883,0.017845955807394752,0.01568720794226459,0.02014823577092513,0.0011247592033494858,3292,5.0,500.0
20,Female,trajectory_only,RandomForest,random,0.9891225379495859,0.9843259375959619,0.9931616323589577,0.0023508328469997093,0.06948568204654541,0.05445778691370547,0.08492127146371363,0.007816963873462346,0.034103851707953416,0.03009112255153409,0.038514202489227704,0.002124106458779265,3292,5.0,500.0
20,Female,trajectory_only,GradientBoosting,random,0.9937066116865632,0.9897964204702075,0.9968268352161324,0.001802450281630783,0.05258473378032871,0.037864641347219986,0.06717292222016777,0.007583081803185623,0.019023583068438165,0.01622679098922393,0.021994748934485754,0.001454659466092213,3292,5.0,500.0
20,Female,traj_wind,Ridge,random,0.9943319392365265,0.9903899486661563,0.997449862366737,0.0018437522339530127,0.04974002492886306,0.033855249851829174,0.0654031929908235,0.008150164327401519,0.01838596829230235,0.01623130388030907,0.02068603751081454,0.0011201241625269026,3292,5.0,500.0
20,Female,traj_wind,RandomForest,random,0.9905801145380645,0.9864003087776,0.994177090772131,0.0020491140921379204,0.06463962519218817,0.051110516123130105,0.07819340280979842,0.007145962960747466,0.032673885570802585,0.029094138565446206,0.0364863379475477,0.0018989085363043136,3292,5.0,500.0
20,Female,traj_wind,GradientBoosting,random,0.9937883992525683,0.9899575433965988,0.9968510875871227,0.0017851565663558272,0.052238199788206485,0.0377770847889368,0.06644426086242171,0.007531400459936912,0.019274034696344103,0.01655724173489634,0.02217225304926143,0.0014443628300433472,3292,5.0,500.0
21,Male,trajectory_only,Ridge,random,0.9938953795780544,0.9904032442955625,0.9966722903036788,0.0016172579876807935,0.03122416663500906,0.023342041139379818,0.03954328513459276,0.004168438116911044,0.006804504704694551,0.006321903295546097,0.007327967371905126,0.00025553795281708165,26515,5.0,500.0
21,Male,trajectory_only,RandomForest,random,0.9910447067809415,0.987543544369155,0.9938803688133393,0.0016516578286894807,0.03799559266569099,0.03134907217661672,0.04525113858453022,0.00356639289112535,0.011866520024501389,0.011072336272240484,0.012729583967871612,0.00042394746488095164,26515,5.0,500.0
21,Male,trajectory_only,GradientBoosting,random,0.9936882210310166,0.9902548417323526,0.9963439369106558,0.0015591683119863713,0.03178728052941678,0.02438686245732256,0.039754707443284916,0.003948480797651795,0.007502919199887486,0.0069115191156698405,0.008107276805628151,0.0003044907835029732,26515,5.0,500.0
21,Male,traj_wind,Ridge,random,0.993891832302529,0.9904011576154784,0.9966654324648716,0.001616638922722334,0.031233785109269205,0.023357238232509053,0.039550056561095316,0.004165517128278372,0.006843949152340396,0.006362515700762022,0.007356511817290529,0.0002550584160025878,26515,5.0,500.0
21,Male,traj_wind,RandomForest,random,0.9920298171414397,0.988565656836762,0.9948038943160963,0.0016136156213855954,0.03581265965336358,0.029065194242376198,0.043235421875912915,0.0036634209803578705,0.012039478843314456,0.011294885602730852,0.012825814358176061,0.00039524387486126246,26515,5.0,500.0
