cutoff_age,sex,n,spec_a,spec_b,r2_a,r2_b,delta_mean,delta_ci_lo,delta_ci_hi,pct_folds_a_better,excludes_zero,naive_ci_a,naive_ci_b,n_repeats
17,Female,664,traj_wind|GradientBoosting,trajectory_only|Ridge,0.6095348106947543,0.4644698732949634,0.1450649373997909,-0.011000629423160371,0.35850482579913956,96.72,False,"[0.440, 0.731]","[0.217, 0.606]",500
17,Female,664,traj_wind|Ridge,trajectory_only|GradientBoosting,0.4608214383538516,0.6149994153342577,-0.15417797698040608,-0.3691824467680763,2.387122300453212e-05,2.52,False,"[0.218, 0.608]","[0.458, 0.733]",500
17,Female,664,traj_wind|Ridge,trajectory_only|Ridge,0.4608214383538516,0.4644698732949634,-0.0036484349411118515,-0.03326310282461583,0.016005817410611706,42.04,False,"[0.218, 0.608]","[0.217, 0.606]",500
17,Female,664,trajectory_only|GradientBoosting,trajectory_only|Ridge,0.6149994153342577,0.4644698732949634,0.15052954203929425,-0.0041443831466490165,0.3646833249339748,97.24000000000001,False,"[0.458, 0.733]","[0.217, 0.606]",500
18,Male,2662,full_no_anthro|GradientBoosting,full_no_anthro|Ridge,0.8074039798903438,0.8111449150793161,-0.0037409351889722514,-0.017372605731901136,0.0142045022428999,28.999999999999996,False,"[0.773, 0.837]","[0.775, 0.840]",500
18,Male,2662,full_no_anthro|GradientBoosting,traj_wind|GradientBoosting,0.8074039798903438,0.7989744952239509,0.008429484666392944,-0.0006120354293480733,0.016703372709342135,96.64,False,"[0.773, 0.837]","[0.763, 0.829]",500
18,Male,2662,full_no_anthro|GradientBoosting,traj_wind|Ridge,0.8074039798903438,0.8029167729813397,0.004487206909004226,-0.010985731354027709,0.02492554099967388,67.56,False,"[0.773, 0.837]","[0.764, 0.835]",500
18,Male,2662,full_no_anthro|GradientBoosting,trajectory_only|GradientBoosting,0.8074039798903438,0.7965308135158004,0.010873166374543414,0.0005115578315275093,0.02093524394060035,98.11999999999999,True,"[0.773, 0.837]","[0.760, 0.828]",500
18,Male,2662,full_no_anthro|GradientBoosting,trajectory_only|Ridge,0.8074039798903438,0.8008175669468476,0.006586412943496268,-0.009828021590976562,0.029102526075884025,74.4,False,"[0.773, 0.837]","[0.760, 0.834]",500
18,Male,2662,full_no_anthro|Ridge,traj_wind|GradientBoosting,0.8111449150793161,0.7989744952239509,0.012170419855365195,-0.00578036273352871,0.027099118323401918,92.12,False,"[0.775, 0.840]","[0.763, 0.829]",500
18,Male,2662,full_no_anthro|Ridge,traj_wind|Ridge,0.8111449150793161,0.8029167729813397,0.008228142097976478,0.001174143079696824,0.014715456634984242,99.08,True,"[0.775, 0.840]","[0.764, 0.835]",500
18,Male,2662,full_no_anthro|Ridge,trajectory_only|GradientBoosting,0.8111449150793161,0.7965308135158004,0.014614101563515664,-0.0036375469199241423,0.029870605846188995,94.96,False,"[0.775, 0.840]","[0.760, 0.828]",500
18,Male,2662,full_no_anthro|Ridge,trajectory_only|Ridge,0.8111449150793161,0.8008175669468476,0.01032734813246852,0.0017970487914662908,0.019370836158935426,99.0,True,"[0.775, 0.840]","[0.760, 0.834]",500
18,Male,2662,traj_wind|GradientBoosting,traj_wind|Ridge,0.7989744952239509,0.8029167729813397,-0.003942277757388718,-0.017939277123340053,0.015394219497610847,28.96,False,"[0.763, 0.829]","[0.764, 0.835]",500
18,Male,2662,traj_wind|GradientBoosting,trajectory_only|GradientBoosting,0.7989744952239509,0.7965308135158004,0.0024436817081504698,-0.005001062616409435,0.009364972875583341,75.52,False,"[0.763, 0.829]","[0.760, 0.828]",500
18,Male,2662,traj_wind|GradientBoosting,trajectory_only|Ridge,0.7989744952239509,0.8008175669468476,-0.0018430717228966745,-0.016434436770051037,0.019830421530522144,36.76,False,"[0.763, 0.829]","[0.760, 0.834]",500
18,Male,2662,traj_wind|Ridge,trajectory_only|GradientBoosting,0.8029167729813397,0.7965308135158004,0.006385959465539187,-0.013648620984798656,0.020679439208127443,78.96,False,"[0.764, 0.835]","[0.760, 0.828]",500
18,Male,2662,traj_wind|Ridge,trajectory_only|Ridge,0.8029167729813397,0.8008175669468476,0.0020992060344920426,-0.002435352514901562,0.0063400225528687055,84.48,False,"[0.764, 0.835]","[0.760, 0.834]",500
18,Male,2662,trajectory_only|GradientBoosting,trajectory_only|Ridge,0.7965308135158004,0.8008175669468476,-0.004286753431047145,-0.018919471190970535,0.01741163524044824,27.200000000000003,False,"[0.760, 0.828]","[0.760, 0.834]",500
18,Female,522,full_no_anthro|GradientBoosting,full_no_anthro|Ridge,0.6672802097041871,0.3347056522904532,0.33257455741373393,0.022834089211328068,1.3174203158506372,98.83999999999999,True,"[0.472, 0.785]","[-0.686, 0.636]",500
18,Female,522,full_no_anthro|GradientBoosting,traj_wind|GradientBoosting,0.6672802097041871,0.6440327923167178,0.023247417387469237,-0.058086773310608464,0.10247500961336822,74.76,False,"[0.472, 0.785]","[0.443, 0.777]",500
18,Female,522,full_no_anthro|GradientBoosting,traj_wind|Ridge,0.6672802097041871,0.2838749108157772,0.3834052988884099,0.04915092433079903,1.4949052362436352,99.44,True,"[0.472, 0.785]","[-0.837, 0.610]",500
18,Female,522,full_no_anthro|GradientBoosting,trajectory_only|GradientBoosting,0.6672802097041871,0.6163316807242044,0.05094852897998272,-0.04774727952095975,0.15004486138568446,85.48,False,"[0.472, 0.785]","[0.405, 0.756]",500
18,Female,522,full_no_anthro|GradientBoosting,trajectory_only|Ridge,0.6672802097041871,0.30895519079963146,0.3583250189045557,0.04437628271449301,1.350533186297978,99.28,True,"[0.472, 0.785]","[-0.700, 0.616]",500
18,Female,522,full_no_anthro|Ridge,traj_wind|GradientBoosting,0.3347056522904532,0.6440327923167178,-0.3093271400262647,-1.3118628440056859,-0.0005126970289720252,2.52,True,"[-0.686, 0.636]","[0.443, 0.777]",500
18,Female,522,full_no_anthro|Ridge,traj_wind|Ridge,0.3347056522904532,0.2838749108157772,0.050830741474675985,-0.0560317378757981,0.22130997758115242,86.64,False,"[-0.686, 0.636]","[-0.837, 0.610]",500
18,Female,522,full_no_anthro|Ridge,trajectory_only|GradientBoosting,0.3347056522904532,0.6163316807242044,-0.2816260284337512,-1.2689559992989385,0.03240344721920118,5.92,False,"[-0.686, 0.636]","[0.405, 0.756]",500
18,Female,522,full_no_anthro|Ridge,trajectory_only|Ridge,0.3347056522904532,0.30895519079963146,0.025750461490821726,-0.12391554346279197,0.1743038691968876,74.88,False,"[-0.686, 0.636]","[-0.700, 0.616]",500
18,Female,522,traj_wind|GradientBoosting,traj_wind|Ridge,0.6440327923167178,0.2838749108157772,0.3601578815009407,0.04315924698244611,1.4577117660986323,99.4,True,"[0.443, 0.777]","[-0.837, 0.610]",500
18,Female,522,traj_wind|GradientBoosting,trajectory_only|GradientBoosting,0.6440327923167178,0.6163316807242044,0.027701111592513483,-0.046863875033846536,0.09905059017698707,78.03999999999999,False,"[0.443, 0.777]","[0.405, 0.756]",500
18,Female,522,traj_wind|GradientBoosting,trajectory_only|Ridge,0.6440327923167178,0.30895519079963146,0.33507760151708643,0.03359872564761887,1.3195704780570305,99.32,True,"[0.443, 0.777]","[-0.700, 0.616]",500
18,Female,522,traj_wind|Ridge,trajectory_only|GradientBoosting,0.2838749108157772,0.6163316807242044,-0.3324567699084272,-1.4330285116168449,-0.010341127664187365,1.92,True,"[-0.837, 0.610]","[0.405, 0.756]",500
18,Female,522,traj_wind|Ridge,trajectory_only|Ridge,0.2838749108157772,0.30895519079963146,-0.025080279983854255,-0.20593700893891506,0.02501514052601762,22.28,False,"[-0.837, 0.610]","[-0.700, 0.616]",500
18,Female,522,trajectory_only|GradientBoosting,trajectory_only|Ridge,0.6163316807242044,0.30895519079963146,0.30737648992457295,-0.0019391526300782881,1.2860549884499488,97.28,False,"[0.405, 0.756]","[-0.700, 0.616]",500
