cutoff_age,sex,variant,model,cv_strategy,n_samples,n_features,n_repeats,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,MAE_mean,tag,n_groups
16,Female,full_no_anthro,RandomForest,random,452,47,500.0,0.6609741729894566,0.5438429260590318,0.7589544228151914,0.05609063433651561,0.3488924656426869,0.25290077505694625,primary,
16,Female,full_no_anthro,GradientBoosting,random,452,47,500.0,0.638391327003259,0.45731309305504714,0.7608801059868329,0.07788492153964104,0.3588482829650092,0.2558744406062424,primary,
16,Female,full_no_anthro,GradientBoosting,province_disjoint,396,47,,0.6424544426235758,,,0.05209961748998421,0.33249031761825915,0.2483348925979536,primary,23.0
17,Male,trajectory_only,Ridge,random,2889,26,500.0,0.7415343862696676,0.701843223247242,0.7750947438084154,0.018950514550739397,0.19408679314163793,0.15657457768964797,primary,
17,Male,trajectory_only,RandomForest,random,2889,26,500.0,0.7315799727164717,0.6908260111582012,0.766026540087108,0.019068895436484313,0.19780695192049116,0.15779668336330668,primary,
17,Male,trajectory_only,GradientBoosting,random,2889,26,500.0,0.7374976419511953,0.69802555828976,0.7711865056076873,0.019160988852938043,0.19560153135286187,0.1563407516346911,primary,
17,Male,trajectory_only,GradientBoosting,province_disjoint,2366,26,,0.7271917359158994,,,0.038951616097182395,0.20144397297115885,0.1607584902885907,primary,25.0
17,Male,traj_wind,Ridge,random,2889,40,500.0,0.7420494644045353,0.7026825577172076,0.7762415082852356,0.018936040072681987,0.19389237536371107,0.15626178479062322,primary,
17,Male,traj_wind,RandomForest,random,2889,40,500.0,0.7342994895066922,0.6938740585506175,0.7683544947690022,0.019210231507520208,0.1967959807024777,0.15734302733050876,primary,
17,Male,traj_wind,GradientBoosting,random,2889,40,500.0,0.7372825290325808,0.6972713636781143,0.772563903637996,0.01922582358450404,0.1956824776973394,0.1565606763368293,primary,
17,Male,traj_wind,GradientBoosting,province_disjoint,2366,40,,0.7237563518873706,,,0.038109589231834044,0.2027666980820825,0.16203802668750866,primary,25.0
17,Male,full_no_anthro,Ridge,random,2889,47,500.0,0.7522276038772572,0.7153140291795558,0.7841254950119854,0.018133826930527685,0.19002779686833404,0.15273539530145344,primary,
17,Male,full_no_anthro,RandomForest,random,2889,47,500.0,0.7435666761886409,0.7044295914160393,0.7763485571786347,0.018497183298205076,0.19333422614150214,0.1546824544451512,primary,
17,Male,full_no_anthro,GradientBoosting,random,2889,47,500.0,0.748595264847179,0.7099686178820155,0.7815769729418587,0.018369547625700693,0.1914220401111516,0.1527185086056443,primary,
17,Male,full_no_anthro,GradientBoosting,province_disjoint,2366,47,,0.735055546100441,,,0.04041566869008282,0.1984191410047668,0.1580227377710152,primary,25.0
17,Female,trajectory_only,Ridge,random,664,26,500.0,0.4644698732949634,0.21674478039794423,0.6062799752190637,0.10348076974501585,0.39946176978695264,0.2965629234243823,primary,
17,Female,trajectory_only,RandomForest,random,664,26,500.0,0.6243020525670446,0.4898624477873658,0.723103968672079,0.059285035469685714,0.3358725417505669,0.23705105918505934,primary,
17,Female,trajectory_only,GradientBoosting,random,664,26,500.0,0.6149994153342577,0.4579071511535396,0.733003765980364,0.06896904816647782,0.33950354120307813,0.23882208378958386,primary,
17,Female,trajectory_only,GradientBoosting,province_disjoint,584,26,,0.5783309661971456,,,0.053703431226336314,0.3452507085778743,0.24343205754257582,primary,25.0
17,Female,traj_wind,Ridge,random,664,40,500.0,0.4608214383538516,0.21816565688053682,0.6078917373433698,0.10459344128055,0.40077641322770396,0.2966749471505481,primary,
17,Female,traj_wind,RandomForest,random,664,40,500.0,0.6209664742726131,0.48128046136657104,0.7240447285194325,0.062494580761264844,0.3372137617733753,0.23855232403618465,primary,
17,Female,traj_wind,GradientBoosting,random,664,40,500.0,0.6095348106947543,0.43997157554345584,0.7307448619246901,0.07434953915553111,0.34173125106630386,0.2404503230472902,primary,
17,Female,traj_wind,GradientBoosting,province_disjoint,584,40,,0.5739652663308734,,,0.042895961155243224,0.34705949198275177,0.24320501971428854,primary,25.0
17,Female,full_no_anthro,Ridge,random,664,47,500.0,0.5198292409162898,0.32152456924443984,0.6484617815753425,0.08744919465694115,0.3783331835971163,0.28264880842352896,primary,
